,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,France_result_value
31,31,404,440,714,1986-06-21,1986,Mexico,Guadalajara,Jalisco,65000.0,Quarterfinals,Brazil,BRA,France,FRA,0,0,1,1,1,1,France,0.0,0.0,1.0,1.0,1.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
32,32,408,564,3469,1986-06-25,1986,Mexico,Guadalajara,Jalisco,45000.0,Semifinals,France,FRA,West Germany,FRG,0,1,0,1,0,2,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
33,33,410,422,3468,1986-06-28,1986,Mexico,Puebla,Cuauhtemoc,21000.0,Third place,France,FRA,Belgium,BEL,0,0,4,2,4,2,France,0.0,0.0,4.0,2.0,4.0,2.0,Third place,Third place,5.0,5.0,5.0
34,34,522,8730,1014,1998-06-12,1998,France,Marseille,Stade Vélodrome,55000.0,Groups,France,FRA,South Africa,RSA,1,0,2,0,3,0,France,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
35,35,537,8745,1014,1998-06-18,1998,France,Saint-Denis,Stade de France,80000.0,Groups,France,FRA,Saudi Arabia,KSA,1,0,3,0,4,0,France,1.0,0.0,3.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
36,36,552,8762,1014,1998-06-24,1998,France,Lyon,Stade de Gerland,39100.0,Groups,France,FRA,Denmark,DEN,1,1,1,0,2,1,France,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
37,37,566,8776,1024,1998-06-28,1998,France,Lens,Stade Felix Bollaert,31800.0,Round of 16,France,FRA,Paraguay,PAR,0,0,1,0,1,0,France,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
38,38,572,8781,1025,1998-07-03,1998,France,Saint-Denis,Stade de France,77000.0,Quarterfinals,Italy,ITA,France,FRA,0,0,0,0,0,0,France,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
39,39,577,8786,1026,1998-07-08,1998,France,Saint-Denis,Stade de France,76000.0,Semifinals,France,FRA,Croatia,CRO,0,0,2,1,2,1,France,0.0,0.0,2.0,1.0,2.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
40,40,579,8788,1027,1998-07-12,1998,France,Saint-Denis,Stade de France,80000.0,Finals,Brazil,BRA,France,FRA,0,2,0,1,0,3,France,2.0,0.0,1.0,0.0,3.0,0.0,Finals,Champion,6.0,7.0,7.0
41,41,580,43950001,43950100,2002-05-31,2002,South Korea,Seoul,Seoul World Cup Stadium,62561.0,Groups,France,FRA,Senegal,SEN,0,1,0,0,0,1,Senegal,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
42,42,599,43950018,43950100,2002-06-06,2002,South Korea,Busan,Busan Asiad Main Stadium,38289.0,Groups,France,FRA,Uruguay,URU,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
43,43,612,43950033,43950100,2002-06-11,2002,South Korea,Incheon,Incheon Football Stadium,48100.0,Groups,Denmark,DEN,France,FRA,1,0,1,0,2,0,Denmark,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
