,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value
11,314,1051,293,1982-06-15,1982,Spain,Málaga,La Rosaleda,36000.0,Groups,Scotland,SCO,New Zealand,NZL,3,0,2,2,5,2,Scotland,3.0,0.0,2.0,2.0,5.0,2.0,Groups,Groups,1.0,1.0
12,323,790,293,1982-06-18,1982,Spain,Seville,Benito Villamarin,47379.0,Groups,Brazil,BRA,Scotland,SCO,1,1,3,0,4,1,Brazil,1.0,1.0,3.0,0.0,4.0,1.0,Groups,Groups,1.0,1.0
13,335,1071,293,1982-06-22,1982,Spain,Málaga,La Rosaleda,45000.0,Groups,Soviet Union,URS,Scotland,SCO,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0
14,370,517,308,1986-06-04,1986,Mexico,Nezahualcóyotl,Neza,18000.0,Groups,Scotland,SCO,Denmark,DEN,0,0,0,1,0,1,Denmark,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
15,383,580,308,1986-06-08,1986,Mexico,Querétaro,Estadio Corregidora,30000.0,Groups,West Germany,FRG,Scotland,SCO,1,1,1,0,2,1,West Germany,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
16,394,712,308,1986-06-13,1986,Mexico,Nezahualcóyotl,Neza,20000.0,Groups,Scotland,SCO,Uruguay,URU,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0
17,419,127,322,1990-06-11,1990,Italy,Genoa,Luigi Ferraris,30867.0,Groups,Costa Rica,CRC,Scotland,SCO,0,0,1,0,1,0,Costa Rica,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
18,431,348,322,1990-06-16,1990,Italy,Genoa,Luigi Ferraris,31823.0,Groups,Sweden,SWE,Scotland,SCO,0,1,1,1,1,2,Scotland,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0
19,442,74,322,1990-06-20,1990,Italy,Turin,Stadio delle Alpi,62502.0,Groups,Brazil,BRA,Scotland,SCO,0,0,1,0,1,0,Brazil,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0
20,516,4000,1014,1998-06-10,1998,France,Saint-Denis,Stade de France,80000.0,Groups,Brazil,BRA,Scotland,SCO,1,1,1,0,2,1,Brazil,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0
21,532,8741,1014,1998-06-16,1998,France,Bordeaux,Stade du Parc Lescure,31800.0,Groups,Scotland,SCO,Norway,NOR,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0
22,550,8758,1014,1998-06-23,1998,France,Saint-Étienne,Stade Geoffroy Guichard,30600.0,Groups,Scotland,SCO,Morocco,MAR,0,1,0,2,0,3,Morocco,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0
