,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Sweden_result_value
21,21,254,2181,262,1974-06-23,1974,Germany,Düsseldorf,Rheinstadion,28300.0,Groups,Sweden,SWE,Uruguay,URU,0,0,3,0,3,0,Sweden,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
22,22,259,2167,263,1974-06-26,1974,Germany,Stuttgart,Neckarstadion,44955.0,Round of 16,Sweden,SWE,Poland,POL,0,1,0,0,0,1,Poland,1.0,0.0,0.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
23,23,263,2065,263,1974-06-30,1974,Germany,Düsseldorf,Rheinstadion,67800.0,Round of 16,West Germany,FRG,Sweden,SWE,0,1,4,1,4,2,West Germany,0.0,1.0,4.0,1.0,4.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
24,24,267,2182,263,1974-07-03,1974,Germany,Düsseldorf,Rheinstadion,41300.0,Round of 16,Sweden,SWE,Yugoslavia,YUG,1,1,1,0,2,1,Sweden,1.0,1.0,1.0,0.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
25,25,274,2253,278,1978-06-03,1978,Argentina,Mar del Plata,Estadio José María Minella,32569.0,Groups,Sweden,SWE,Brazil,BRA,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
26,26,284,2224,278,1978-06-07,1978,Argentina,Buenos Aires,Jose Amalfitani,41424.0,Groups,Austria,AUT,Sweden,SWE,1,0,0,0,1,0,Austria,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
27,27,292,2337,278,1978-06-11,1978,Argentina,Buenos Aires,Jose Amalfitani,42132.0,Groups,Spain,ESP,Sweden,SWE,0,0,1,0,1,0,Spain,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
28,28,417,75,322,1990-06-10,1990,Italy,Turin,Stadio delle Alpi,62628.0,Groups,Brazil,BRA,Sweden,SWE,1,0,1,1,2,1,Brazil,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
29,29,431,348,322,1990-06-16,1990,Italy,Genoa,Luigi Ferraris,31823.0,Groups,Sweden,SWE,Scotland,SCO,0,1,1,1,1,2,Scotland,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
30,30,443,128,322,1990-06-20,1990,Italy,Genoa,Luigi Ferraris,30223.0,Groups,Sweden,SWE,Costa Rica,CRC,1,0,0,2,1,2,Costa Rica,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
31,31,471,3056,337,1994-06-19,1994,United States,Pasadena,Rose Bowl,93194.0,Groups,Cameroon,CMR,Sweden,SWE,1,1,1,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
32,32,482,3068,337,1994-06-24,1994,United States,Pontiac,Pontiac Silverdome,71528.0,Groups,Sweden,SWE,Russia,RUS,1,1,2,0,3,1,Sweden,1.0,1.0,2.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
33,33,493,3080,337,1994-06-28,1994,United States,Pontiac,Pontiac Silverdome,77217.0,Groups,Brazil,BRA,Sweden,SWE,0,1,1,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
34,34,502,3087,338,1994-07-03,1994,United States,Dallas,Cotton Bowl,60277.0,Round of 16,Saudi Arabia,KSA,Sweden,SWE,0,1,1,2,1,3,Sweden,1.0,0.0,2.0,1.0,3.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
35,35,511,3095,796,1994-07-10,1994,United States,Palo Alto,Stanford Stadium,83500.0,Quarterfinals,Romania,ROU,Sweden,SWE,0,0,2,2,2,2,Sweden,0.0,0.0,2.0,2.0,2.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
36,36,513,3099,3461,1994-07-13,1994,United States,Pasadena,Rose Bowl,91856.0,Semifinals,Sweden,SWE,Brazil,BRA,0,0,0,1,0,1,Brazil,0.0,0.0,1.0,0.0,1.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
37,37,514,3103,3460,1994-07-16,1994,United States,Pasadena,Rose Bowl,91500.0,Third place,Sweden,SWE,Bulgaria,BUL,4,0,0,0,4,0,Sweden,4.0,0.0,0.0,0.0,4.0,0.0,Third place,Third place,5.0,5.0,5.0
38,38,586,43950005,43950100,2002-06-02,2002,Japan,Saitama,Saitama Stadium 2002,52721.0,Groups,England,ENG,Sweden,SWE,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
39,39,600,43950021,43950100,2002-06-07,2002,Japan,Kobe,Kobe Wing Stadium,36194.0,Groups,Sweden,SWE,Nigeria,NGA,1,1,1,0,2,1,Sweden,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
40,40,617,43950037,43950100,2002-06-12,2002,Japan,Rifu,Miyagi Stadium,45777.0,Groups,Sweden,SWE,Argentina,ARG,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
41,41,632,43950051,43950200,2002-06-16,2002,Japan,Ōita,Oita Stadium Big Eye,39747.0,Round of 16,Sweden,SWE,Senegal,SEN,0,0,1,2,1,2,Senegal,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
42,42,648,97410004,97410100,2006-06-10,2006,Germany,Dortmund,"FIFA World Cup Stadium, Dortmund",62959.0,Groups,Trinidad and Tobago,TRI,Sweden,SWE,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
43,43,664,97410020,97410100,2006-06-15,2006,Germany,Berlin,Olympiastadion,72000.0,Groups,Sweden,SWE,Paraguay,PAR,0,0,1,0,1,0,Sweden,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
44,44,678,97410035,97410100,2006-06-20,2006,Germany,Cologne,"FIFA World Cup Stadium, Cologne",45000.0,Groups,Sweden,SWE,England,ENG,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
45,45,692,97410049,97410200,2006-06-24,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Round of 16,Germany,GER,Sweden,SWE,2,0,0,0,2,0,Germany,2.0,0.0,0.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
