,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,West Germany_result_value
43,43,341,770,293,1982-06-25,1982,Spain,Gijón,El Molinon,41000.0,Groups,West Germany,FRG,Austria,AUT,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
44,44,347,879,294,1982-06-29,1982,Spain,Madrid,Santiago Bernabeu,75000.0,Round of 16,West Germany,FRG,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
45,45,351,900,294,1982-07-02,1982,Spain,Madrid,Santiago Bernabeu,90089.0,Round of 16,West Germany,FRG,Spain,ESP,0,0,2,1,2,1,West Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
46,46,357,914,295,1982-07-08,1982,Spain,Seville,Ramon Sanchez Pizjuan,70000.0,Semifinals,West Germany,FRG,France,FRA,0,0,3,3,3,3,West Germany,0.0,0.0,3.0,3.0,3.0,3.0,Semifinals,Semifinals,4.0,4.0,4.0
47,47,359,923,3475,1982-07-11,1982,Spain,Madrid,Santiago Bernabeu,90000.0,Finals,Italy,ITA,West Germany,FRG,0,0,3,1,3,1,Italy,0.0,0.0,3.0,1.0,3.0,1.0,Champion,Finals,7.0,6.0,6.0
48,48,371,585,308,1986-06-04,1986,Mexico,Querétaro,Estadio Corregidora,30500.0,Groups,Uruguay,URU,West Germany,FRG,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
49,49,383,580,308,1986-06-08,1986,Mexico,Querétaro,Estadio Corregidora,30000.0,Groups,West Germany,FRG,Scotland,SCO,1,1,1,0,2,1,West Germany,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
50,50,395,512,308,1986-06-13,1986,Mexico,Querétaro,Estadio Corregidora,36000.0,Groups,Denmark,DEN,West Germany,FRG,1,0,1,0,2,0,Denmark,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
51,51,401,574,309,1986-06-17,1986,Mexico,Monterrey,Estadio Universitario,19800.0,Round of 16,Morocco,MAR,West Germany,FRG,0,0,0,1,0,1,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
52,52,405,575,714,1986-06-21,1986,Mexico,Monterrey,Estadio Universitario,41700.0,Quarterfinals,West Germany,FRG,Mexico,MEX,0,0,0,0,0,0,West Germany,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
53,53,408,564,3469,1986-06-25,1986,Mexico,Guadalajara,Jalisco,45000.0,Semifinals,France,FRA,West Germany,FRG,0,1,0,1,0,2,West Germany,1.0,0.0,1.0,0.0,2.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
54,54,411,393,3467,1986-06-29,1986,Mexico,Mexico City,Estadio Azteca,114600.0,Finals,Argentina,ARG,West Germany,FRG,1,0,2,2,3,2,Argentina,1.0,0.0,2.0,2.0,3.0,2.0,Champion,Finals,7.0,6.0,6.0
55,55,418,201,322,1990-06-10,1990,Italy,Milan,Giuseppe Meazza,74765.0,Groups,West Germany,FRG,Yugoslavia,YUG,2,0,2,1,4,1,West Germany,2.0,0.0,2.0,1.0,4.0,1.0,Groups,Groups,1.0,1.0,1.0
56,56,429,198,322,1990-06-15,1990,Italy,Milan,Giuseppe Meazza,71169.0,Groups,West Germany,FRG,United Arab Emirates,UAE,2,0,3,1,5,1,West Germany,2.0,0.0,3.0,1.0,5.0,1.0,Groups,Groups,1.0,1.0,1.0
57,57,438,114,322,1990-06-19,1990,Italy,Milan,Giuseppe Meazza,72510.0,Groups,West Germany,FRG,Colombia,COL,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
58,58,451,196,323,1990-06-24,1990,Italy,Milan,Giuseppe Meazza,74559.0,Round of 16,West Germany,FRG,Netherlands,NED,0,0,2,1,2,1,West Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
59,59,458,197,751,1990-07-01,1990,Italy,Milan,Giuseppe Meazza,73347.0,Quarterfinals,West Germany,FRG,Czechoslovakia,TCH,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
60,60,461,159,3464,1990-07-04,1990,Italy,Turin,Stadio delle Alpi,62628.0,Semifinals,West Germany,FRG,England,ENG,0,0,1,1,1,1,West Germany,0.0,0.0,1.0,1.0,1.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
61,61,463,27,3462,1990-07-08,1990,Italy,Rome,Stadio Olimpico,73603.0,Finals,West Germany,FRG,Argentina,ARG,0,0,1,0,1,0,West Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,7.0
