,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Uruguay_result_value
13,13,136,1479,231,1962-05-30,1962,Chile,Arica,Carlos Dittborn,7908.0,Groups,Uruguay,URU,Colombia,COL,0,1,2,0,2,1,Uruguay,0.0,1.0,2.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
14,14,144,1564,231,1962-06-02,1962,Chile,Arica,Carlos Dittborn,8829.0,Groups,Yugoslavia,YUG,Uruguay,URU,2,1,1,0,3,1,Yugoslavia,2.0,1.0,1.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
15,15,152,1562,231,1962-06-06,1962,Chile,Arica,Carlos Dittborn,9973.0,Groups,Soviet Union,URS,Uruguay,URU,1,0,1,1,2,1,Soviet Union,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
16,16,168,1636,238,1966-07-11,1966,England,London,Wembley Stadium,87148.0,Groups,England,ENG,Uruguay,URU,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
17,17,176,1653,238,1966-07-15,1966,England,London,White City,45662.0,Groups,Uruguay,URU,France,FRA,2,1,0,0,2,1,Uruguay,2.0,1.0,0.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
18,18,184,1689,238,1966-07-19,1966,England,London,Wembley Stadium,61112.0,Groups,Uruguay,URU,Mexico,MEX,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
19,19,193,1660,239,1966-07-23,1966,England,Sheffield,Hillsborough,40007.0,Quarterfinals,West Germany,FRG,Uruguay,URU,1,0,3,0,4,0,West Germany,1.0,0.0,3.0,0.0,4.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
20,20,201,1881,250,1970-06-02,1970,Mexico,Puebla,Cuauhtemoc,20654.0,Groups,Uruguay,URU,Israel,ISR,1,0,1,0,2,0,Uruguay,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
21,21,208,1884,250,1970-06-06,1970,Mexico,Puebla,Cuauhtemoc,29968.0,Groups,Uruguay,URU,Italy,ITA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
22,22,216,1922,250,1970-06-10,1970,Mexico,Puebla,Cuauhtemoc,18163.0,Groups,Sweden,SWE,Uruguay,URU,0,0,1,0,1,0,Sweden,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
