,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Germany_result_value
23,23,645,97410001,97410100,2006-06-09,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Groups,Germany,GER,Costa Rica,CRC,2,1,2,1,4,2,Germany,2.0,1.0,2.0,1.0,4.0,2.0,Groups,Groups,1.0,1.0,1.0
24,24,661,97410017,97410100,2006-06-14,2006,Germany,Dortmund,"FIFA World Cup Stadium, Dortmund",65000.0,Groups,Germany,GER,Poland,POL,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
25,25,676,97410033,97410100,2006-06-20,2006,Germany,Berlin,Olympiastadion,72000.0,Groups,Ecuador,ECU,Germany,GER,0,2,0,1,0,3,Germany,2.0,0.0,1.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
26,26,692,97410049,97410200,2006-06-24,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Round of 16,Germany,GER,Sweden,SWE,2,0,0,0,2,0,Germany,2.0,0.0,0.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
27,27,700,97410057,97410300,2006-06-30,2006,Germany,Berlin,Olympiastadion,72000.0,Quarterfinals,Germany,GER,Argentina,ARG,0,0,1,1,1,1,Germany,0.0,0.0,1.0,1.0,1.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
28,28,704,97410061,97410400,2006-07-04,2006,Germany,Dortmund,"FIFA World Cup Stadium, Dortmund",65000.0,Semifinals,Germany,GER,Italy,ITA,0,0,0,2,0,2,Italy,0.0,0.0,2.0,0.0,2.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
29,29,706,97410063,97410500,2006-07-08,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Third place,Germany,GER,Portugal,POR,0,0,3,1,3,1,Germany,0.0,0.0,3.0,1.0,3.0,1.0,Third place,Third place,5.0,5.0,5.0
30,30,715,300111116,249722,2010-06-13,2010,South Africa,Durban,Durban Stadium,62660.0,Groups,Germany,GER,Australia,AUS,2,0,2,0,4,0,Germany,2.0,0.0,2.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
31,31,728,300061470,249722,2010-06-18,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,38294.0,Groups,Germany,GER,Serbia,SRB,0,1,0,0,0,1,Serbia,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
32,32,746,300061468,249722,2010-06-23,2010,South Africa,Johannesburg,Soccer City Stadium,83391.0,Groups,Ghana,GHA,Germany,GER,0,0,0,1,0,1,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
