,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,England_result_value
43,43,563,8770,1014,1998-06-26,1998,France,Lens,Stade Felix Bollaert,38100.0,Groups,Colombia,COL,England,ENG,0,2,0,0,0,2,England,2.0,0.0,0.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
44,44,571,8779,1024,1998-06-30,1998,France,Saint-Étienne,Stade Geoffroy Guichard,30600.0,Round of 16,Argentina,ARG,England,ENG,0,0,2,2,2,2,Argentina,0.0,0.0,2.0,2.0,2.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
45,45,586,43950005,43950100,2002-06-02,2002,Japan,Saitama,Saitama Stadium 2002,52721.0,Groups,England,ENG,Sweden,SWE,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
46,46,601,43950023,43950100,2002-06-07,2002,Japan,Sapporo,Sapporo Dome,35927.0,Groups,Argentina,ARG,England,ENG,0,1,0,0,0,1,England,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
47,47,618,43950038,43950100,2002-06-12,2002,Japan,Osaka,Osaka Nagai Stadium,44864.0,Groups,Nigeria,NGA,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
48,48,629,43950050,43950200,2002-06-15,2002,Japan,Niigata,Niigata Stadium Big Swan,40582.0,Round of 16,Denmark,DEN,England,ENG,0,3,0,0,0,3,England,3.0,0.0,0.0,0.0,3.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
49,49,637,43950057,43950300,2002-06-21,2002,Japan,Fukuroi,Shizuoka Stadium Ecopa,47436.0,Quarterfinals,England,ENG,Brazil,BRA,1,1,0,1,1,2,Brazil,1.0,1.0,1.0,0.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
50,50,647,97410003,97410100,2006-06-10,2006,Germany,Frankfurt am Main,"FIFA World Cup Stadium, Frankfurt",48000.0,Groups,England,ENG,Paraguay,PAR,1,0,0,0,1,0,England,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
51,51,663,97410019,97410100,2006-06-15,2006,Germany,Nuremberg,Franken-Stadion,41000.0,Groups,England,ENG,Trinidad and Tobago,TRI,0,0,2,0,2,0,England,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
52,52,678,97410035,97410100,2006-06-20,2006,Germany,Cologne,"FIFA World Cup Stadium, Cologne",45000.0,Groups,Sweden,SWE,England,ENG,0,1,2,1,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
53,53,694,97410051,97410200,2006-06-25,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Round of 16,England,ENG,Ecuador,ECU,0,0,1,0,1,0,England,0.0,0.0,1.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
54,54,702,97410059,97410300,2006-07-01,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Quarterfinals,England,ENG,Portugal,POR,0,0,0,0,0,0,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
55,55,712,300061466,249722,2010-06-12,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,38646.0,Groups,England,ENG,United States,USA,1,1,0,0,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
56,56,730,300061464,249722,2010-06-18,2010,South Africa,Cape Town,Cape Town Stadium,64100.0,Groups,England,ENG,Algeria,ALG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
57,57,744,300061462,249722,2010-06-23,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,36893.0,Groups,Slovenia,SVN,England,ENG,0,1,0,0,0,1,England,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
58,58,758,300061501,249717,2010-06-27,2010,South Africa,Bloemfontein,Free State Stadium,40510.0,Round of 16,Germany,GER,England,ENG,2,1,2,0,4,1,Germany,2.0,1.0,2.0,0.0,4.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
59,59,778,300186513,255931,2014-06-14,2014,Brazil,Manaus,Arena Amazonia,39800.0,Groups,England,ENG,Italy,ITA,1,1,0,1,1,2,Italy,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
60,60,793,300186486,255931,2014-06-19,2014,Brazil,São Paulo,Arena de Sao Paulo,62575.0,Groups,Uruguay,URU,England,ENG,1,0,1,1,2,1,Uruguay,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
61,61,809,300186484,255931,2014-06-24,2014,Brazil,Belo Horizonte,Estadio Mineirao,57823.0,Groups,Costa Rica,CRC,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
